,DalScience,DalLibraries,Dal_Alumni,DalGazette
20,"{'date': '11/06/2019, 22:26:46', 'full_text': 'Dal’s Women in STEM panel is starting shortly at the @CanvasKitchen. @Dal_Alumni https://t.co/vfAhnTbG1P'}","{'date': '01/16/2020, 15:04:24', 'full_text': 'https://t.co/RXGW53lL47'}","{'date': '01/14/2020, 22:01:01', 'full_text': ""#DalAlumni and friends in #Halifax - come out Feb 5 for great conversation and refreshments as we welcome Dal's new president! https://t.co/EZMCSbBKct""}","{'date': '01/20/2020, 13:47:18', 'full_text': 'The satire issue is exclusively in print, so pick it up where you can! We hope you enjoy it! https://t.co/LpTwytztpX'}"
21,"{'date': '11/06/2019, 16:43:20', 'full_text': ""Join us for Dal's Women in STEM event,@CanvasKitchen starting at 6pm on Nov 6. @DalScience panelists include Dr. Sara Iverson from @OceanTracking and Eleanor Chisholm from @AtlanticGoldCo and @Dal_ESnENVS. Seats are limited, RSVP&gt;&gt;https://t.co/VgjfBbyEY6 @Dal_Alumni @DalhousieU https://t.co/YAkxujHZOs""}","{'date': '01/15/2020, 17:24:34', 'full_text': 'We will be observing a cross-Canada moment of silence for the tragedy in Iran at 2 p.m. AST. @univcan @DalhousieU https://t.co/O1veMIJyQ1'}","{'date': '01/13/2020, 14:47:29', 'full_text': ""Congratulations to #DalAlumni Mike Evelyn (BEng'19)! https://t.co/VvlS9Mievs""}","{'date': '01/20/2020, 13:44:52', 'full_text': 'Aside from this issue being satire, you may notice the paper’s a little different than it was last semester. After TC decided to stop printing newspapers, we had to switch. Our new printer can’t print in full colour, some of the paper will be more grayscale than you’re used to.'}"
22,"{'date': '10/31/2019, 15:58:38', 'full_text': 'Today’s episode of #sciographies features @DrCChambers, Killam Professor in @PsychNeuroDal and @Dal_Psychiatry. Today we discuss her career path, types of pain and science communication. Listen here: https://t.co/FcClIKUAIv @DalhousieU @Dal_Alumni @CIHR_IRSC @KidsInPain'}","{'date': '01/15/2020, 11:40:59', 'full_text': 'Artist talk with Michelle Sylliboy is tonight at 6:30 in the Killam Library. #DalReads https://t.co/sSqYPavPop'}","{'date': '01/13/2020, 14:38:01', 'full_text': 'RT @DalPres: I look forward to beginning my time at #DalhousieU this Wednesday. See you soon. https://t.co/AOOICc9gaB'}","{'date': '01/20/2020, 13:43:55', 'full_text': 'Hey, everyone! It’s been a minute. Our annual satire issue is out now 🤪 https://t.co/3MvnYTNBi9'}"
23,"{'date': '10/25/2019, 13:19:12', 'full_text': 'RT @OceanTracking: November 6, 6-8pm, four @DalhousieU women in STEM will be speaking on their experiences in the field at a free, public p…'}","{'date': '01/14/2020, 16:53:47', 'full_text': 'Please join us in welcoming Louise Gillis, our new limited term Data Librarian. https://t.co/GsGidEcSNJ'}","{'date': '01/12/2020, 13:41:00', 'full_text': 'A reminder to our community that the 29th Annual Student Musicale has been postponed today due to weather. Please join us on January 26 at 3PM in room 406 of the Dalhousie Arts Centre for this @FSPADal student performance. Tickets are $15 at the door ($10 for students).'}","{'date': '01/17/2020, 20:07:29', 'full_text': 'No https://t.co/2cPhkt3ko8'}"
24,"{'date': '10/24/2019, 18:47:06', 'full_text': 'Today’s episode of #Sciographies features Dr. Lars Osberg, the McCulloch Professor of Economics @DalEconomics. In his interview we discuss economic inequality, insecurity and well-being.Tune in today on @ckdu881fm at 4pm or listen: https://t.co/Iajj5Gr7yR @DalhousieU @Dal_Alumni https://t.co/ruoH6vh60Y'}","{'date': '01/14/2020, 16:49:15', 'full_text': 'RT @DalhousieU: To share our solidarity and support all those affected by last week’s tragedy in Iran, universities across Canada will hold…'}","{'date': '01/10/2020, 18:46:01', 'full_text': 'Tomorrow a vigil to recognize the tragedy in Iran including the loss of two members of our Dal community: Masoumeh Ghavi and Sharieh Faghihi will be held on campus. You may join us at the Rebecca Cohn Auditorium, 6101 University Avenue, 2:30 pm to 4:30 pm. https://t.co/W8rijuvM4k'}","{'date': '01/17/2020, 20:00:10', 'full_text': 'RT @DalSecurity: CAMPUS ALERT - Truro Campus closing today at 5:30 p.m. due to weather https://t.co/QsIGnsnMWh'}"
25,"{'date': '10/23/2019, 13:27:14', 'full_text': '@DalhousieU Thank you for the @DalScience feature!'}","{'date': '01/12/2020, 14:51:03', 'full_text': 'The MacRae Library is closing now due to icy sidewalk and road conditions. Stay safe, everyone! @dalagriculture @memacinnis @Limpetman @DalSecurity'}","{'date': '01/10/2020, 18:18:00', 'full_text': 'Due to weather forecasts for this Sunday, the Annual Student Musicale will be postponed until January 26, 2020. Other details remain the same, including 3PM start in room 406 of the Dalhousie Arts Centre and $15 tickets ($10 for students) at the door. @FSPADal'}","{'date': '01/17/2020, 19:26:58', 'full_text': ""RT @A_MacLeod_Tyee: This is an excellent read on why language matters and what we're trying to do at The Tyee. (I'd add in the importance o…""}"
26,"{'date': '10/23/2019, 13:26:12', 'full_text': 'RT @DalhousieU: “Even though they are happy for me, I still believe they doubt me. It puts more pressure on me to beat the odds and show th…'}","{'date': '01/10/2020, 16:57:26', 'full_text': ""@FIMSGradLib @westernulibs @GuelphLibrary @pridelibrary @HuronLibrary @brescialibrary Parks and Rec's library mentions always make us😂 #FridayFunday #TGIF https://t.co/vxLJx2f1lc""}","{'date': '01/09/2020, 19:52:00', 'full_text': 'Dal alumni appointed to the #OrderofCanada: The Hon. James Cowan, Michael Donovan, Robie MacDonald, The Hon. Donald Oliver and Debra Pepler. Plus faculty member, Dr. Noni MacDonald.\nhttps://t.co/a1K9aiRZSG'}","{'date': '01/17/2020, 19:11:39', 'full_text': '@smackdonna @WhoisAlexFox'}"
27,"{'date': '10/23/2019, 13:25:55', 'full_text': 'RT @DalhousieU: Do animals have their own culture? PhD student Felicia Vachon, who is studying the culture of whales, argues that they do,…'}","{'date': '01/10/2020, 12:23:19', 'full_text': 'Congratulations to the School of Information Management on 50 years! @dalsimnews @DalManagement https://t.co/BFDgEUdrL4'}","{'date': '01/09/2020, 14:52:12', 'full_text': 'RT @DalhousieU: Dalhousie University expresses our deepest condolences to all impacted by the tragic plane crash in Iran this morning. We a…'}","{'date': '01/17/2020, 18:34:05', 'full_text': ""Update: Our printer is behind schedule getting papers to the drop-off location due to weather. We're sorry for the delay and hoping to have all papers delivered over the weekend. https://t.co/bjkuLn24f1""}"
28,"{'date': '10/17/2019, 17:52:26', 'full_text': 'Today’s #sciographies radio show with Dr. Eric Oliver on @CKDU881FM at 4pm is canceled due to a power outage. You can listen to the episode here: https://t.co/ZIkrkPg0S7 @Dal_Alumni @Dal_Alumni https://t.co/7dylvusOkm'}","{'date': '01/09/2020, 18:26:07', 'full_text': 'dalhousieu: Our grief over yesterday’s tragedy in Iran includes the loss of two members of our Dal community: Masoumeh Ghavi and Sharieh Faghihi. A vigil to recognize them and others who lost their lives will be held on campus Saturday afternoon. https://t.co/NYHcrUkoyh'}","{'date': '01/07/2020, 17:45:44', 'full_text': 'RT @DalhousieU: Congratulations to medical trailblazer and #DalhousieU faculty member Dr. Noni MacDonald, who was named to the #OrderofCana…'}","{'date': '01/17/2020, 17:06:36', 'full_text': 'Shoutout to our delivery driver Logan Robins who is going out in this cold, getting our first issue of 2020 on stands! 🥶'}"
29,"{'date': '10/17/2019, 15:48:42', 'full_text': 'Today’s episode of #Sciographies features, Dr. Eric Oliver, an oceanographer and Dal alum, who outlines how #climatechange is increasing the occurrence of marine heat waves in the ocean. Tune in to @ckdu881fm today 4pm or listen on your #podcast app. @Dal_Alumni @DalNews https://t.co/zCCag79VRt'}","{'date': '01/09/2020, 18:25:34', 'full_text': 'If you use BMJ Practice or some of their other websites, please note that some of them  will be inaccessible for eight hours on Sat (Jan 11). https://t.co/FwPJB0tv0L @DalMedSchool @DalHealth @DalDentistry'}","{'date': '01/07/2020, 17:35:10', 'full_text': 'RT @Hunter_dal: Caroline Leblanc, VP @BMO , MBA FS @Dal_Alumni @baystgrl Shares her experience with @DALCEGE on her journey to Africa on a…'}","{'date': '01/17/2020, 16:44:09', 'full_text': ""If you contributed to the Gazette last semester, your cheque is here waiting for you. Come and get 'em. https://t.co/hxSNHcd3Cc""}"
