,workatdal,DalMedSchool,dalagriculture,SchulichLaw
278,"{'date': '07/05/2019, 15:25:07', 'full_text': 'Last week #DalhousieU held its annual Strawberry Jam, an employee appreciation event on its Halifax campus. Thanks to the more than 400 faculty and staff who attended, it was a huge success!\nhttps://t.co/UoGBsy5ER2 https://t.co/GsnkmG9Wcj'}","{'date': '05/27/2019, 13:18:19', 'full_text': 'Dr. Samuel Frederick Armstrong is presented with the C.B Stewart Gold Medal in Medicine. #DalGrad https://t.co/ewkSqo957F'}","{'date': '11/15/2019, 00:24:24', 'full_text': ""RT @foodimprover: In case you were wondering, this is us in both serious and funny form!  \n\nLearn more about what we're up to by visiting o…""}","{'date': '09/30/2019, 15:26:05', 'full_text': 'RT @HealthLawAtDal: Join us this Friday Oct 4th: ""Citizens and Science in a Digitized World"" w/Kim McGrail\n12:30-1:45PM, Rm 104 \n@SchulichL…'}"
279,"{'date': '07/05/2019, 14:17:37', 'full_text': 'RT @dalagriculture: On Community Day, visit Station A to pick up an ice cream treat, participate in activities, and take in a demo of our W…'}","{'date': '05/27/2019, 12:23:58', 'full_text': 'Congratulations\xa0to the Dalhousie Medical School grads of 2019. Best of luck in your medical careers and thank you for all you are going to do to better serve your communities. #DalProud #DalGrad https://t.co/q5SpOjo1rr'}","{'date': '11/14/2019, 14:19:52', 'full_text': 'RT @DalhousieU: #DalhousieU researchers are helping to solve some of the most complex global issues facing humankind. For Dr. Stefanie Colo…'}","{'date': '09/30/2019, 12:26:31', 'full_text': ""It's #OrangeShirtDay - DILSA is selling shirts in the lobby this morning to honour and support residential school survivors. https://t.co/sWkMMmuLUx""}"
280,"{'date': '07/04/2019, 17:45:10', 'full_text': ""We're still looking for volunteers to help at our HR/@DalDPMG Growing Communities Series - Community Garden. Each Tues in July, we'll help in the garden &amp; donate produce to Loaded Ladle in support of its free meals program for students. Sign up at https://t.co/Vf3ekEJjTw https://t.co/8DjdbQsHZN""}","{'date': '05/27/2019, 12:10:07', 'full_text': 'Congratulations to all of the Dal Med students graduating at convocation this morning. This year, 119 medical degrees will be awarded to the graduating class of 2019. Here are the stories of just a few of them: https://t.co/JIF06j5JgL https://t.co/nQa92RSJkM'}","{'date': '11/14/2019, 11:27:25', 'full_text': 'RT @lstordy: 0ne piece of Obama’s advice to young folks in attendance.  “Good stuff does not happen fast. “ Sounds  so much better coming f…'}","{'date': '09/27/2019, 17:50:37', 'full_text': 'RT @erinlynnhunt: Next we have Maya Eichler on a Feminist Perspective on Women in War. \n\nWhere are the women? How did they get there? Who b…'}"
281,"{'date': '07/04/2019, 17:02:23', 'full_text': 'RT @nshealth: The sun has finally arrived! Enjoy the outdoors, but remember that high temperatures and humidity can put you at risk for hea…'}","{'date': '05/27/2019, 10:50:53', 'full_text': ""RT @DalHealth: There's less than one week left to register for Primary Health Care Research Day! Register by May 31. https://t.co/0yRbbDty3…""}","{'date': '11/13/2019, 23:31:53', 'full_text': 'RT @sblairreid: Biggest threats to the world: Climate change. You have to listen to the science. I wish I could share the complete conversa…'}","{'date': '09/27/2019, 17:39:06', 'full_text': ""RT @canredcrossns: We are LIVE at our 15th annual International Humanitarian Law Conference in #Halifax with @SchulichLaw @DalhousieU! We'l…""}"
282,"{'date': '07/03/2019, 16:06:21', 'full_text': 'RT @HfxPartnership: Since 2016, there have been 3,700+ job offers under the #AtlanticImmigrationPilot. Learn how the Atlantic Growth Strate…'}","{'date': '05/26/2019, 20:01:25', 'full_text': 'RT @shawnaoh: @DalMedSchool celebrating our indigenous graduates! #DalProud @DalGlobalHealth @Dal_IHIM https://t.co/w2hJZmEmME'}","{'date': '11/13/2019, 23:31:16', 'full_text': 'RT @sblairreid: Our economy depends on investing in all children - not just some. Invest in knowledge. Our strength comes from our creativi…'}","{'date': '09/27/2019, 17:39:02', 'full_text': 'RT @erinlynnhunt: Getting started at the @CanRedCrossATL and @SchulichLaw IHL conference on women, weapons and war with remarks from the De…'}"
283,"{'date': '07/03/2019, 12:55:09', 'full_text': 'Congrats to all of our long-service employees who have worked at #DalhousieU for 25, 35 and 45 years. They were honoured last week at a Milestone reception hosted by Provost @teribalser. https://t.co/ve0M54EKdE #DalProud https://t.co/6s7PFx7Etj'}","{'date': '05/26/2019, 20:01:10', 'full_text': 'RT @stephenmiller67: Dal MED Class of 2010 Convocation Gala #congrats #CunardCenter #friendsandfamily #streamingraps \u2066@DalMedSchool\u2069 \u2066@Dal_…'}","{'date': '11/13/2019, 23:30:04', 'full_text': 'RT @sblairreid: Worry less about what you want to be - worry more about what you want to do. Wise words from #BarackObama @DalhousieU @Dal_…'}","{'date': '09/27/2019, 16:30:08', 'full_text': 'RT @adelina_iftene: @petersankoff @SchulichLaw @HealthLawAtDal @DalLSS @dalprisonlaw @utpress @KPateontheHill That’s right. A great week fo…'}"
284,"{'date': '07/02/2019, 16:39:13', 'full_text': ""RT @hfxgov: Reminder! Join @MikeSavageHFX on the Mayor's Bike Ride on Thursday, July 4 at 3 p.m. Ride starts from Acadia Drive in Sackville…""}","{'date': '05/25/2019, 19:47:39', 'full_text': 'RT @MarliMacNeil: Informative presentation on using ultrasound for diagnosing and treating #IBD from Dr. Hughie Fraser @getgutsycanada @Dal…'}","{'date': '11/13/2019, 18:57:49', 'full_text': 'RT @Dal_Alumni: Chief of Glooscap First Nation, Sidney Peters (Tech’84 @dalagriculture), reflects on the economic development the Mi’kmaq b…'}","{'date': '09/27/2019, 15:53:38', 'full_text': 'RT @NSBS: Halifax will be hosting the annual CABL Gala and Conference for the first time on October 18-19. Be sure to register soon so you…'}"
285,"{'date': '07/02/2019, 15:55:10', 'full_text': ""Looking for a new career? We're hiring a Manager, Research and Infrastructure Support at @DalMedSchool https://t.co/OvU1AKXOMz Apply by July 5.""}","{'date': '05/25/2019, 19:47:23', 'full_text': 'RT @DalhousieU: In 2018, Dr. Richard ""Harry"" Harris led the rescue of a soccer team of 12 boys and their coach in Thailand’s Tham Luang cav…'}","{'date': '11/13/2019, 12:11:39', 'full_text': ""RT @DalhousieU: 🎼 It's the most wonderful time of the year! 🎼 https://t.co/Cki4jgwn8b""}","{'date': '09/27/2019, 15:53:21', 'full_text': ""RT @DalLawHour: It was a packed house today for Joel Pink's lecture on how to make it as a criminal defense lawyer! Thanks to all who joine…""}"
286,"{'date': '07/02/2019, 14:03:38', 'full_text': ""RT @feednovascotia: 1 in 5 children in Nova Scotia lives in poverty, and when school's out so are the breakfast and lunch programs that pro…""}","{'date': '05/24/2019, 18:28:44', 'full_text': 'RT @DalGlobalHealth: We loved being a check point for the MedIT team building event “the Amazing Challenge”. Our @peddle_sarah created a pl…'}","{'date': '11/13/2019, 12:11:14', 'full_text': 'RT @DrIvanJoseph: The only limit to our realization of tomorrow will be our doubts of today. - Franklin D. Roosevelt #WednesdayWisdom https…'}","{'date': '09/27/2019, 15:26:45', 'full_text': 'RT @buslawdal: James Thuo Gathii of @LoyolaLaw kicks off the ""Trade, Development, Inequality"" Stream organized by @SchulichLaw\'s @bisi_akin…'}"
287,"{'date': '06/28/2019, 17:20:13', 'full_text': 'Looking for Canada Day events this weekend? Check out this list for  everything happening in @hfxgov https://t.co/h2104VfZ6n @hfxnovascotia https://t.co/2NiLdt7dC5'}","{'date': '05/24/2019, 18:28:30', 'full_text': 'Dancing for a great cause. #ShimmyMob https://t.co/gFaQrBDW1P'}","{'date': '11/12/2019, 20:30:41', 'full_text': 'Exposing students to skills and thought processes through the Faculty of Agriculture’s Cultiv8 program builds the foundation required to be successful in the ever changing agri-food industry. https://t.co/bmdHVcvP2x https://t.co/exp9jEijJP'}","{'date': '09/27/2019, 15:26:41', 'full_text': 'RT @buslawdal: Michael Marin (@marin_law) of @UNBLaw now speaking on ""Officer and Director Liability in Transantional Human Rights Litigati…'}"
